cnty_fips,display_name,,Urban-Rural Status,,,,,,
48239,"""Jackson, (TX)""",,Rural,,,,,,
48241,"""Jasper, (TX)""",,Rural,,,,,,
48243,"""Jeff Davis, (TX)""",,Rural,,,,,,
48245,"""Jefferson, (TX)""",,Small City,,,,,,
48247,"""Jim Hogg, (TX)""",,Rural,,,,,,
48249,"""Jim Wells, (TX)""",,Rural,,,,,,
48255,"""Karnes, (TX)""",,Rural,,,,,,
48259,"""Kendall, (TX)""",,Suburban,,,,,,
48261,"""Kenedy, (TX)""",,Rural,,,,,,
48265,"""Kerr, (TX)""",,Rural,,,,,,
48267,"""Kimble, (TX)""",,Rural,,,,,,
48271,"""Kinney, (TX)""",,Rural,,,,,,
48273,"""Kleberg, (TX)""",,Rural,,,,,,
48281,"""Lampasas, (TX)""",,Small City,,,,,,
48283,"""La Salle, (TX)""",,Rural,,,,,,
48285,"""Lavaca, (TX)""",,Rural,,,,,,
48287,"""Lee, (TX)""",,Rural,,,,,,
48289,"""Leon, (TX)""",,Rural,,,,,,
48291,"""Liberty, (TX)""",,Suburban,,,,,,
48293,"""Limestone, (TX)""",,Rural,,,,,,
48297,"""Live Oak, (TX)""",,Rural,,,,,,
48299,"""Llano, (TX)""",,Rural,,,,,,
48301,"""Loving, (TX)""",,Rural,,,,,,
48307,"""McCulloch, (TX)""",,Rural,,,,,,
48309,"""McLennan, (TX)""",,Small City,,,,,,
48311,"""McMullen, (TX)""",,Rural,,,,,,
48313,"""Madison, (TX)""",,Rural,,,,,,
48319,"""Mason, (TX)""",,Rural,,,,,,
48321,"""Matagorda, (TX)""",,Rural,,,,,,
48323,"""Maverick, (TX)""",,Rural,,,,,,
48325,"""Medina, (TX)""",,Suburban,,,,,,
48327,"""Menard, (TX)""",,Rural,,,,,,
48329,"""Midland, (TX)""",,Small City,,,,,,
48331,"""Milam, (TX)""",,Rural,,,,,,
48333,"""Mills, (TX)""",,Rural,,,,,,
48339,"""Montgomery, (TX)""",,Suburban,,,,,,
48347,"""Nacogdoches, (TX)""",,Rural,,,,,,
48349,"""Navarro, (TX)""",,Rural,,,,,,
48351,"""Newton, (TX)""",,Small City,,,,,,
48355,"""Nueces, (TX)""",,Small City,,,,,,
48361,"""Orange, (TX)""",,Small City,,,,,,
48371,"""Pecos, (TX)""",,Rural,,,,,,
48373,"""Polk, (TX)""",,Rural,,,,,,
48377,"""Presidio, (TX)""",,Rural,,,,,,
48383,"""Reagan, (TX)""",,Rural,,,,,,
48385,"""Real, (TX)""",,Rural,,,,,,
48389,"""Reeves, (TX)""",,Rural,,,,,,
48391,"""Refugio, (TX)""",,Rural,,,,,,
48395,"""Robertson, (TX)""",,Small City,,,,,,
48399,"""Runnels, (TX)""",,Rural,,,,,,
48403,"""Sabine, (TX)""",,Rural,,,,,,
48405,"""San Augustine, (TX)""",,Rural,,,,,,
48407,"""San Jacinto, (TX)""",,Rural,,,,,,
48409,"""San Patricio, (TX)""",,Small City,,,,,,
48411,"""San Saba, (TX)""",,Rural,,,,,,
48413,"""Schleicher, (TX)""",,Rural,,,,,,
48419,"""Shelby, (TX)""",,Rural,,,,,,
48427,"""Starr, (TX)""",,Rural,,,,,,
48431,"""Sterling, (TX)""",,Rural,,,,,,
48435,"""Sutton, (TX)""",,Rural,,,,,,
48443,"""Terrell, (TX)""",,Rural,,,,,,
48451,"""Tom Green, (TX)""",,Small City,,,,,,
48453,"""Travis, (TX)""",,Urban,,,,,,
48455,"""Trinity, (TX)""",,Rural,,,,,,
48457,"""Tyler, (TX)""",,Rural,,,,,,
48461,"""Upton, (TX)""",,Rural,,,,,,
48463,"""Uvalde, (TX)""",,Rural,,,,,,
48465,"""Val Verde, (TX)""",,Rural,,,,,,
48469,"""Victoria, (TX)""",,Small City,,,,,,
48471,"""Walker, (TX)""",,Rural,,,,,,
48473,"""Waller, (TX)""",,Suburban,,,,,,
48475,"""Ward, (TX)""",,Rural,,,,,,
48477,"""Washington, (TX)""",,Rural,,,,,,
48479,"""Webb, (TX)""",,Small City,,,,,,
48481,"""Wharton, (TX)""",,Rural,,,,,,
48489,"""Willacy, (TX)""",,Rural,,,,,,
48491,"""Williamson, (TX)""",,Suburban,,,,,,
48493,"""Wilson, (TX)""",,Suburban,,,,,,
48495,"""Winkler, (TX)""",,Rural,,,,,,
48505,"""Zapata, (TX)""",,Rural,,,,,,
48507,"""Zavala, (TX)""",,Rural,,,,,,
5007,"""Benton, (AR)""",,Small City,,,,,,
5033,"""Crawford, (AR)""",,Small City,,,,,,
5047,"""Franklin, (AR)""",,Rural,,,,,,
5057,"""Hempstead, (AR)""",,Rural,,,,,,
5061,"""Howard, (AR)""",,Rural,,,,,,
5081,"""Little River, (AR)""",,Small City,,,,,,
5083,"""Logan, (AR)""",,Rural,,,,,,
5087,"""Madison, (AR)""",,Small City,,,,,,
5091,"""Miller, (AR)""",,Small City,,,,,,
5113,"""Polk, (AR)""",,Rural,,,,,,
5127,"""Scott, (AR)""",,Rural,,,,,,
5131,"""Sebastian, (AR)""",,Small City,,,,,,
5133,"""Sevier, (AR)""",,Rural,,,,,,
5143,"""Washington, (AR)""",,Small City,,,,,,
8001,"""Adams, (CO)""",,Suburban,,,,,,
8003,"""Alamosa, (CO)""",,Rural,,,,,,
8005,"""Arapahoe, (CO)""",,Suburban,,,,,,
8009,"""Baca, (CO)""",,Rural,,,,,,
8011,"""Bent, (CO)""",,Rural,,,,,,
8013,"""Boulder, (CO)""",,Small City,,,,,,
8014,"""Broomfield, (CO)""",,Suburban,,,,,,
8015,"""Chaffee, (CO)""",,Rural,,,,,,
8017,"""Cheyenne, (CO)""",,Rural,,,,,,
8019,"""Clear Creek, (CO)""",,Suburban,,,,,,
8021,"""Conejos, (CO)""",,Rural,,,,,,
8023,"""Costilla, (CO)""",,Rural,,,,,,
8025,"""Crowley, (CO)""",,Rural,,,,,,
8027,"""Custer, (CO)""",,Rural,,,,,,
8031,"""Denver, (CO)""",,Urban,,,,,,
8035,"""Douglas, (CO)""",,Suburban,,,,,,
8037,"""Eagle, (CO)""",,Rural,,,,,,
8039,"""Elbert, (CO)""",,Suburban,,,,,,
8041,"""El Paso, (CO)""",,Small City,,,,,,
8043,"""Fremont, (CO)""",,Rural,,,,,,
8047,"""Gilpin, (CO)""",,Suburban,,,,,,
8049,"""Grand, (CO)""",,Rural,,,,,,
8055,"""Huerfano, (CO)""",,Rural,,,,,,
8057,"""Jackson, (CO)""",,Rural,,,,,,
8059,"""Jefferson, (CO)""",,Suburban,,,,,,
8061,"""Kiowa, (CO)""",,Rural,,,,,,
8063,"""Kit Carson, (CO)""",,Rural,,,,,,
8065,"""Lake, (CO)""",,Rural,,,,,,
8069,"""Larimer, (CO)""",,Small City,,,,,,
8071,"""Las Animas, (CO)""",,Rural,,,,,,
8073,"""Lincoln, (CO)""",,Rural,,,,,,
8075,"""Logan, (CO)""",,Rural,,,,,,
8087,"""Morgan, (CO)""",,Rural,,,,,,
8089,"""Otero, (CO)""",,Rural,,,,,,
